first_name,last_name,home_town,state_or_country,high_school,alternative_school,college,college_league,highschoolcity,highschoolstateorprovince,highschoolcountry,Public/Private/International,starter_count,accolade_count,latitude,longitude,roster_year,year,position,height,weight,bio_link,id
Aidan,Leonard,Camarillo,CA,Oaks Christian School,,Brown University,IVY,WESTLAKE VILLAGE,CA,USA,PRIVATE,0,0,34.15315,-118.810311,"{2010,2011}","{Freshman,Sophomore}","{Defender,Defender}","{6'0,6'0}","{175,175}","{https://brownbears.com/roster.aspx?rp_id=3320,https://brownbears.com/roster.aspx?rp_id=3346}",11
AJ,Stueck,Brookfield,CT,Brookfield High School,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,Brookfield,CT,USA,PUBLIC,2,0,41.480146,-73.390539,"{2011,2010}","{Freshman,Freshman}","{Midfielder,Midfielder}","{5'8,5'8}","{130,130}","{https://nuhuskies.com/roster.aspx?rp_id=1563,https://nuhuskies.com/roster.aspx?rp_id=686}",12
AJ,Yerkes,Columbus,GA,Columbus High School,,Army West Point,PATRIOT,Columbus,GA,USA,PUBLIC,1,0,32.479423,-84.963295,{2017},{Freshman},{Forward},{6'0},{172},{https://goarmywestpoint.com/roster.aspx?rp_id=10858&path=msoc},13
A.J.,Esparza,Chandler,AZ,Perry High School,,Air Force Academy,WAC,Gilbert,AZ,USA,PUBLIC,2,0,33.261689,-111.749077,"{2016,2015,2013,2014}","{Senior,Junior,Freshman,Sophomore}","{Defender,Defender,Defender,Defender}","{5'11,NULL,5'11,5'11}","{165,160,150,150}","{https://goairforcefalcons.com/roster.aspx?rp_id=3370,https://goairforcefalcons.com/roster.aspx?rp_id=3408,https://goairforcefalcons.com/roster.aspx?rp_id=3476,https://goairforcefalcons.com/roster.aspx?rp_id=3447}",14
A.J.,Grant,Mitchellville,MD,DeMatha Catholic High School,,Davidson College,A-10,HYATTSVILLE,MD,USA,PRIVATE,0,0,38.95803,-76.942441,"{2007,2008}","{Sophomore,Junior}","{Defender,Defender}","{6'0,6'0}","{210,190}","{https://davidsonwildcats.com/roster.aspx?rp_id=63,https://davidsonwildcats.com/roster.aspx?rp_id=500}",15
Alassane,Kane,Macon,GA,Stratford Academy,,American University,PATRIOT,MACON,GA,USA,PRIVATE,3,3,32.8614,-83.754681,"{2011,2010,2012}","{Junior,Sophomore,Senior}","{Forward,Forward,Forward}","{6'3,6'3,6'3}","{185,185,185}","{http://www.aueagles.com/sports/m-soccer/2011-12/bios/collins_tyler,http://www.aueagles.com/sports/m-soccer/2010-11/bios/collins_tyler,http://www.aueagles.com/sports/m-soccer/2012-13/bios/behm_peter}",16
Alec,Young,Scottsdale,AZ,Saguaro High School,,Air Force Academy,WAC,Scottsdale,AZ,USA,PUBLIC,1,0,33.527837,-111.90668,"{2017,2018}","{Freshman,NULL}","{Midfielder,NULL}","{6'1,6'1}","{165,165}","{https://goairforcefalcons.com/roster.aspx?rp_id=3351,https://goairforcefalcons.com/roster.aspx?rp_id=7392}",17
Alejandro,Almodovar,Valencia,CA,Chaminade College Preparatory High School,,American University,PATRIOT,WEST HILLS,CA,USA,PRIVATE,0,0,34.20766,-118.635761,{2009},{Freshman},{Goalkeeper},{6'0},{180},{http://www.aueagles.com/sports/m-soccer/2009-10/bios/abaie_zach},18
Alex,Blanton,Nashville,TN,Brentwood High School,,SMU,AMERICAN ATHLETIC,Brentwood,TN,USA,PUBLIC,0,0,36.016257,-86.815438,{2011},{Freshman},{Goalkeeper},{6'0},{180},{https://smumustangs.com/roster.aspx?rp_id=2616},19
Alex,Caskey,Dunwoody,GA,Dunwoody High School,Dunwoody,Davidson College,A-10,Dunwoody,GA,USA,PUBLIC,0,0,33.945496,-84.315307,{2007},{Freshman},{Midfielder},{5'11},{150},{https://davidsonwildcats.com/roster.aspx?rp_id=68},20
Alex,Caskey,Dunwoody,GA,Dunwoody High School,,Davidson College,A-10,Dunwoody,GA,USA,PUBLIC,0,0,33.945496,-84.315307,"{2008,2009}","{Sophomore,Junior}","{Midfielder,Midfielder}","{5'11,5'11}","{150,152}","{https://davidsonwildcats.com/roster.aspx?rp_id=497,https://davidsonwildcats.com/roster.aspx?rp_id=981}",21
Alex,Contratto,Palos Verdes Estates,CA,Chadwick School,,Columbia University,IVY,PALOS VERDES PENINSULA,CA,USA,PRIVATE,0,0,33.77692,-118.361041,"{2008,2009,2007}","{Sophomore,Junior,Freshman}","{Goalkeeper,Goalkeeper,Goalkeeper}","{6'1,6'1,6'1}","{185,185,185}","{https://gocolumbialions.com/roster.aspx?rp_id=3252,https://gocolumbialions.com/roster.aspx?rp_id=4169,https://gocolumbialions.com/roster.aspx?rp_id=2336}",22
Alex,Crooks,Alpharetta,GA,Chattahoochee High School,,Furman University,SOUTHERN,Alpharetta,GA,USA,PUBLIC,3,0,34.049117,-84.208218,"{2011,2012,2010,2009}","{Junior,Senior,Sophomore,Freshman}","{Defender,Defender,Defender,Defender}","{5'9,5'9,5'9,5'9}","{140,140,140,140}","{http://www.furmanpaladins.com/sports/m-soccer/2011-12/bios/sanchez_dennis_1h5y,http://www.furmanpaladins.com/sports/m-soccer/2012-13/bios/ryan_doug_o9kc,http://www.furmanpaladins.com/sports/m-soccer/2010-11/bios/valko_maros_ono6,http://www.furmanpaladins.com/sports/m-soccer/mtt/brown_jacob00.html}",23
Alex,Debayo-Doherty,McLean,VA,The Potomac School,,Harvard University,IVY,MCLEAN,VA,USA,PRIVATE,1,0,38.93548,-77.154301,{2018},{Freshman},{Forward},{6'2},{183},{https://www.gocrimson.com/sports/msoc/2018-19/bios/debayo-doherty_alex_zr0f},24
Alex,Field,Johns Creek,GA,Chattahoochee High School,,Army West Point,PATRIOT,Alpharetta,GA,USA,PUBLIC,2,0,34.049117,-84.208218,"{2017,2018}","{Freshman,Sophomore}","{Midfielder,Midfielder}","{5'9,5'9}","{168,160}","{https://goarmywestpoint.com/roster.aspx?rp_id=10851&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=13192&path=msoc}",25
Alex,Jaroscak,Weston,FL,Cypress Bay High School,,Army West Point,PATRIOT,WESTON,FL,USA,PUBLIC,4,0,26.065463,-80.39784,"{2014,2013,2015,2016}","{Sophomore,Freshman,Junior,Senior}","{Midfielder,Midfielder,Midfielder,Midfielder}","{5'8,5'8,5'8,5'8}","{160,155,160,160}","{https://goarmywestpoint.com/roster.aspx?rp_id=2868&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=2892&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=7221&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=8611&path=msoc}",26
Alex,Markes,Valencia,CA,Harvard-Westlake,,Brown University,IVY,LOS ANGELES,CA,USA,PRIVATE,4,2,34.08891,-118.433891,"{2011,2014,2013,2012}","{Freshman,Senior,Junior,Sophomore}","{Defender,Defender,Defender,Defender}","{6'0,6'0,6'0,6'0}","{175,180,180,180}","{https://brownbears.com/roster.aspx?rp_id=3351,https://brownbears.com/roster.aspx?rp_id=3428,https://brownbears.com/roster.aspx?rp_id=3402,https://brownbears.com/roster.aspx?rp_id=3376}",27
Alex,Reddy,Birmingham,AL,Mountain Brook High School,,University of Pennsylvania,IVY,Mountain Brook,AL,USA,PUBLIC,4,0,33.490855,-86.71247,"{2011,2012,2013,2010}","{Sophomore,Junior,Senior,Freshman}","{Midfielder,Midfielder,Midfielder,Midfielder}","{5'9,5'9,5'9,5'9}","{NULL,NULL,NULL,NULL}","{https://pennathletics.com/roster.aspx?rp_id=2226,https://pennathletics.com/roster.aspx?rp_id=2243,https://pennathletics.com/roster.aspx?rp_id=2290,https://pennathletics.com/roster.aspx?rp_id=8703}",28
Alex,Thompson,Nashville,TN,University School,,Princeton University,IVY,Johnson City,TN,USA,PUBLIC,0,0,36.304984,-82.36793,{2008},{Sophomore},{Defender},{6'0},{165},{https://goprincetontigers.com/roster.aspx?rp_id=9497},29
Alex,Wilson,Phoenix,AZ,Thunderbird High School,,Naval Academy,PATRIOT,Phoenix,AZ,USA,PUBLIC,3,0,33.612891,-112.096976,"{2011,2010,2012}","{Sophomore,Freshman,Junior}","{Forward,Forward,Forward}","{NULL,5'11,NULL}","{165,160,160}","{https://navysports.com/roster.aspx?rp_id=5433,https://navysports.com/roster.aspx?rp_id=5460,https://navysports.com/roster.aspx?rp_id=5406}",30
Alexander,Drummond,Charlotte,NC,Charlotte Catholic High School,,Wofford College,SOUTHERN,CHARLOTTE,NC,USA,PRIVATE,1,0,35.08891,-80.851151,"{2007,2008,2010}","{Sophomore,Sophomore,Senior}","{Forward,Forward,Forward}","{5'10,5'10,5'10}","{170,170,170}","{https://woffordterriers.com/roster.aspx?rp_id=1338,https://woffordterriers.com/roster.aspx?rp_id=1316,https://woffordterriers.com/roster.aspx?rp_id=2139}",31
Andrea,Seazzu,Albuquerque,NM,Early College Academy,,Air Force Academy,WAC,ALBUQUERQUE,NM,USA,PUBLIC,2,0,35.094454,-106.635648,"{2017,2018,2016}","{Sophomore,NULL,Freshman}","{Goalkeeper,NULL,Goalkeeper}","{6'3,6'3,6'3}","{165,180,165}","{https://goairforcefalcons.com/roster.aspx?rp_id=3313,https://goairforcefalcons.com/roster.aspx?rp_id=7362,https://goairforcefalcons.com/roster.aspx?rp_id=3352}",32
Andres,Camacho,Colonia,NJ,Colonia High School,,Villanova University,BIG EAST,COLONIA,NJ,USA,PUBLIC,2,0,40.59195,-74.320254,"{2017,2018,2016}","{Sophomore,Junior,Freshman}","{Midfielder,Midfielder,Midfielder}","{6'0,6'0,6'0}","{180,180,180}","{https://villanova.com/roster.aspx?rp_id=2396,https://villanova.com/roster.aspx?rp_id=7210,https://villanova.com/roster.aspx?rp_id=2421}",33
Andrew,Harris,Baltimore,MD,Gilman School,,Wake Forest University,ATLANTIC COAST,BALTIMORE,MD,USA,PRIVATE,0,0,39.360244,-76.634004,"{2014,2013,2012,2015}","{Junior,Sophomore,Freshman,Junior}","{Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper}","{NULL,NULL,NULL,NULL}","{185,185,185,185}","{https://godeacs.com/roster.aspx?rp_id=2366,https://godeacs.com/roster.aspx?rp_id=2394,https://godeacs.com/roster.aspx?rp_id=2423,https://godeacs.com/roster.aspx?rp_id=2337}",34
Andrew,Olsen,Norwell,MA,Thayer Academy,,Dartmouth College,IVY,BRAINTREE,MA,USA,PRIVATE,4,3,42.20784,-71.006731,"{2007,2010,2008,2009}","{Freshman,Senior,Sophomore,Junior}","{Forward,Forward,Forward,Forward}","{6'0,6'0,6'0,6'0}","{NULL,170,NULL,170}","{https://dartmouthsports.com/roster.aspx?rp_id=4384,https://dartmouthsports.com/roster.aspx?rp_id=7189,https://dartmouthsports.com/roster.aspx?rp_id=5283,https://dartmouthsports.com/roster.aspx?rp_id=6460}",35
Andrew,Quinn,Silver Spring,MD,DeMatha Catholic High School,,University of Notre Dame,ATLANTIC COAST,HYATTSVILLE,MD,USA,PRIVATE,1,0,38.95803,-76.942441,{2009},{Senior},{Goalkeeper},{6'3},{225},{https://und.com/roster.aspx?rp_id=4984},36
Andrew,Stant,Dover,DE,Caesar Rodney High School,,Air Force Academy,WAC,Camden,DE,USA,PUBLIC,0,0,39.118561,-75.541239,{2016},{Freshman},{Midfielder},{5'11},{170},{https://goairforcefalcons.com/roster.aspx?rp_id=3388},37
Andy,Lubahn,Erie,PA,Cathedral Preparatory School,,Wake Forest University,ATLANTIC COAST,ERIE,PA,USA,PRIVATE,0,2,42.12434,-80.087991,"{2013,2012,2010,2011,2009}","{Senior,Senior,Sophomore,Junior,Freshman}","{Forward,Forward,Forward,Forward,Midfielder}","{6'1,6'1,6'1,6'1,6'1}","{170,170,170,170,170}","{https://godeacs.com/roster.aspx?rp_id=2408,https://godeacs.com/roster.aspx?rp_id=2439,https://godeacs.com/roster.aspx?rp_id=2489,https://godeacs.com/roster.aspx?rp_id=2464,https://godeacs.com/roster.aspx?rp_id=2516}",38
Andy,Shorten,Hudson,OH,Western Reserve Academy,,Yale University,IVY,HUDSON,OH,USA,PRIVATE,2,0,41.247357,-81.439051,"{2010,2009,2008,2007}","{Senior,Junior,Sophomore,Freshman}","{Midfielder,Midfielder,Midfielder,Midfielder}","{5'10,5'10,5'10,5'10}","{150,150,150,150}","{http://www.yalebulldogs.com/sports/m-soccer/2010-11/bios/alers_nick_owd2,http://www.yalebulldogs.com/sports/m-soccer/2009-10/bios/armbrust_scott,http://www.yalebulldogs.com/sports/m-soccer/mtt/afsahi_alex00.html,http://www.yalebulldogs.com/sports/m-soccer/2007-08/bios/afsahi_alex00.html}",39
Anthony,Viteri,Flushing,NY,Archbishop Molloy High School,St. John's,Boston University,PATRIOT,BRIARWOOD,NY,USA,PRIVATE,2,2,40.711149,-73.819758,"{2015,2017,2016}","{Sophomore,Senior,Junior}","{Midfielder,Midfielder,Midfielder}","{6'0,6'0,6'0}","{165,170,170}","{https://goterriers.com/roster.aspx?rp_id=3019,https://goterriers.com/roster.aspx?rp_id=9604,https://goterriers.com/roster.aspx?rp_id=6711}",40
Anthony,Yeboah,Portland,ME,Deering High School,,Villanova University,BIG EAST,Portland,ME,USA,PUBLIC,1,0,43.671738,-70.295915,{2008},{Freshman},{Forward},{NULL},{180},{https://villanova.com/roster.aspx?rp_id=2641},41
Antoine,Hoppenot,Princeton,NJ,Princeton Day School,,Princeton University,IVY,PRINCETON,NJ,USA,PRIVATE,4,4,40.367523,-74.693133,"{2010,2009,2011,2008}","{Junior,Sophomore,Senior,Freshman}","{Forward,Midfielder,Forward,Midfielder}","{5'8,5'8,5'8,5'8}","{145,145,145,145}","{https://goprincetontigers.com/roster.aspx?rp_id=9559,https://goprincetontigers.com/roster.aspx?rp_id=9529,https://goprincetontigers.com/roster.aspx?rp_id=9584,https://goprincetontigers.com/roster.aspx?rp_id=9486}",42
Antonio,Matarazzo,Fair Lawn,NJ,Fair Lawn High School,,Columbia University,IVY,FAIR LAWN,NJ,USA,PUBLIC,0,1,40.932424,-74.124581,"{2015,2012,2013,2014}","{Senior,Freshman,Sophomore,Junior}","{Defender,Defender,Defender,Defender}","{6'4,6'4,6'4,6'4}","{185,185,185,185}","{https://gocolumbialions.com/roster.aspx?rp_id=7654,https://gocolumbialions.com/roster.aspx?rp_id=6276,https://gocolumbialions.com/roster.aspx?rp_id=6794,https://gocolumbialions.com/roster.aspx?rp_id=7184}",43
Ashi,Geberkidane,Denver,CO,East High School,,Harvard University,IVY,DENVER,CO,USA,PUBLIC,1,0,39.741628,-104.955668,{2013},{Freshman},{Forward},{6'2},{162},{https://www.gocrimson.com/sports/msoc/2013-14/bios/geberkidane_ashanafe},44
Austin,Dewing,Colorado Springs,CO,Air Academy High School,,Air Force Academy,WAC,USAF ACADEMY,CO,USA,PUBLIC,3,1,38.967994,-104.84588,"{2018,2015,2016,2017}","{NULL,Freshman,Sophomore,Junior}","{NULL,Forward,Forward,Forward}","{5'8,5'8,5'8,5'8}","{165,150,165,165}","{https://goairforcefalcons.com/roster.aspx?rp_id=7372,https://goairforcefalcons.com/roster.aspx?rp_id=3417,https://goairforcefalcons.com/roster.aspx?rp_id=3365,https://goairforcefalcons.com/roster.aspx?rp_id=3325}",45
Austin,Verissimo,Newark,NJ,East Side High School,,Duke University,ATLANTIC COAST,NEWARK,NJ,USA,PUBLIC,0,0,40.724025,-74.158762,{2016},{Freshman},{Goalkeeper},{5'8},{135},{http://www.goduke.com/ViewArticle.dbml?ATCLID=211133389&DB_OEM_ID=4200&Q_SEASON=2016},46
Avery,Schwartz,Santa Barbara,CA,Cate School,,Yale University,IVY,CARPINTERIA,CA,USA,PRIVATE,4,0,34.405521,-119.476796,"{2015,2014,2012,2013}","{Senior,Junior,Freshman,Sophomore}","{Forward,Forward,Forward,Forward}","{5'8,5'8,5'8,5'8}","{150,150,150,150}","{http://www.yalebulldogs.com/sports/m-soccer/2015-16/bios/albrecht_henry_dzah,http://www.yalebulldogs.com/sports/m-soccer/2014-15/bios/albrecht_henry_pjjd,http://www.yalebulldogs.com/sports/m-soccer/2012-13/bios/alers_nick_o7i0,http://www.yalebulldogs.com/sports/m-soccer/2013-14/bios/albrecht_henry_x63h}",47
Avi,Eller,Minneapolis,MN,Breck School,,Columbia University,IVY,MINNEAPOLIS,MN,USA,PRIVATE,1,0,44.98068,-93.342491,"{2017,2018}","{Freshman,Sophomore}","{Midfielder,Midfielder}","{5'10,5'10}","{NULL,NULL}","{https://gocolumbialions.com/roster.aspx?rp_id=8238,https://gocolumbialions.com/roster.aspx?rp_id=10331}",48
Ben,Snider,Clarkston,MI,Clarkston High School,,Colgate University,PATRIOT,CLARKSTON,MI,USA,PUBLIC,4,0,42.73918,-83.393277,"{2017,2015,2016,2018}","{Junior,Freshman,Sophomore,Senior}","{Forward,Forward,Forward,Forward}","{5'10,5'10,5'10,5'10}","{155,155,155,155}","{https://gocolgateraiders.com/roster.aspx?rp_id=8665,https://gocolgateraiders.com/roster.aspx?rp_id=7020,https://gocolgateraiders.com/roster.aspx?rp_id=7878,https://gocolgateraiders.com/roster.aspx?rp_id=9190}",49
Ben,Stitz,Baltimore,MD,Archbishop Curley High School,,University of Pennsylvania,IVY,BALTIMORE,MD,USA,PRIVATE,1,0,39.31275,-76.563071,{2018},{Freshman},{Midfielder},{6'1},{NULL},{https://pennathletics.com/roster.aspx?rp_id=13115},50
Blair,Gaines,Huntsville,AL,Huntsville High School,,Wofford College,SOUTHERN,Huntsville,AL,USA,PUBLIC,3,0,34.713474,-86.583462,"{2009,2013,2011,2010,2012}","{Freshman,Senior,Sophomore,Freshman,Junior}","{Forward,Forward,Forward,Forward,Forward}","{5'7,5'8,5'8,5'8,5'8}","{140,150,150,150,150}","{https://woffordterriers.com/roster.aspx?rp_id=1743,https://woffordterriers.com/roster.aspx?rp_id=3421,https://woffordterriers.com/roster.aspx?rp_id=2563,https://woffordterriers.com/roster.aspx?rp_id=2126,https://woffordterriers.com/roster.aspx?rp_id=3113}",51
Blake,Atherton,Beachwood,OH,Beachwood High School,,Georgetown University,BIG EAST,Beachwood,OH,USA,PUBLIC,0,0,41.483972,-81.501382,{2012},{Freshman},{Goalkeeper},{NULL},{160},{http://georgetown.sidearmsports.com/roster.aspx?rp_id=4328},52
Bobby,Thalman,Greenwood Village,CO,Colorado Academy,,Yale University,IVY,DENVER,CO,USA,PRIVATE,4,2,39.64781,-105.067551,"{2012,2011,2010,2009}","{Senior,Junior,Sophomore,Freshman}","{Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper}","{6'5,6'5,6'5,6'5}","{195,195,195,195}","{http://www.yalebulldogs.com/sports/m-soccer/2012-13/bios/alers_nick_o7i0,http://www.yalebulldogs.com/sports/m-soccer/2011-12/bios/alers_nick_owd2,http://www.yalebulldogs.com/sports/m-soccer/2010-11/bios/alers_nick_owd2,http://www.yalebulldogs.com/sports/m-soccer/2009-10/bios/armbrust_scott}",53
Boitumelo,Gugushe,Stoughton,MA,Worcester Academy,,Boston College,ATLANTIC COAST,WORCESTER,MA,USA,PRIVATE,0,0,42.25337,-71.792491,{2009},{Freshman},{Back},{5'11},{155},{https://bceagles.com/roster.aspx?rp_id=2918},54
Brad,Kline,Baltimore,MD,Archbishop Spalding High School,,American University,PATRIOT,SEVERN,MD,USA,PRIVATE,0,0,39.124014,-76.645884,{2014},{Freshman},{Defender},{6'0},{155},{http://www.aueagles.com/sports/m-soccer/2014-15/bios/kerman_matt},55
Brad,Ross,Nashville,TN,Franklin High School,,College of the Holy Cross,PATRIOT,Franklin,TN,USA,PUBLIC,4,0,35.939771,-86.878091,"{2017,2015,2016,2014}","{Senior,Sophomore,Junior,Freshman}","{Defender,Defender,Defender,Defender}","{6'0,5'11,6'0,5'11}","{166,180,183,180}","{https://goholycross.com/ViewArticle.dbml?ATCLID=210215670&DB_OEM_ID=33100&Q_SEASON=2017,https://goholycross.com/ViewArticle.dbml?ATCLID=210215670&DB_OEM_ID=33100&Q_SEASON=2015,https://goholycross.com/ViewArticle.dbml?ATCLID=210215670&DB_OEM_ID=33100&Q_SEASON=2016,https://goholycross.com/ViewArticle.dbml?ATCLID=210215670&DB_OEM_ID=33100&Q_SEASON=2014}",56
Brad,Warenicz,Baltimore,MD,Archbishop Curley High School,,Loyola University Maryland,PATRIOT,BALTIMORE,MD,USA,PRIVATE,2,0,39.31275,-76.563071,"{2015,2014}","{Sophomore,Freshman}","{Forward,Forward}","{5'10,5'10}","{158,158}","{https://loyolagreyhounds.com/roster.aspx?rp_id=2190,https://loyolagreyhounds.com/roster.aspx?rp_id=2219}",57
Brandon,Bartel,Fleming Island,FL,Fleming Island High School,Orlando City SC,University of Pennsylvania,IVY,ORANGE PARK,FL,USA,PUBLIC,3,0,30.087202,-81.711537,"{2016,2018,2017}","{Freshman,Junior,Sophomore}","{Midfielder,Midfielder,Midfielder}","{5'10,5'10,5'10}","{175,NULL,175}","{https://pennathletics.com/roster.aspx?rp_id=4241,https://pennathletics.com/roster.aspx?rp_id=11259,https://pennathletics.com/roster.aspx?rp_id=2912}",58
Brandon,Briggs,Carson City,NV,Carson High School,,Boston University,PATRIOT,Carson City,NV,USA,PUBLIC,1,0,39.16908,-119.748958,"{2010,2009}","{Freshman,Freshman}","{Goalkeeper,Goalkeeper}","{6'0,6'0}","{170,170}","{https://goterriers.com/roster.aspx?rp_id=3169,https://goterriers.com/roster.aspx?rp_id=3198}",59
Brandon,Busch,San Diego,CA,The Bishop's School,,Princeton University,IVY,LA JOLLA,CA,USA,PRIVATE,3,0,32.840821,-117.278374,"{2010,2008,2009}","{Senior,Sophomore,Junior}","{Forward,Forward,Forward}","{5'3,5'3,5'3}","{130,130,130}","{https://goprincetontigers.com/roster.aspx?rp_id=9551,https://goprincetontigers.com/roster.aspx?rp_id=9476,https://goprincetontigers.com/roster.aspx?rp_id=9519}",60
Brandon,Turner,Bay Shore,NY,Bay Shore Senior High School,,Lafayette College,PATRIOT,BAY SHORE,NY,USA,PUBLIC,4,1,40.731545,-73.254352,"{2011,2010,2013,2012}","{Sophomore,Freshman,Senior,Junior}","{Defender,Defender,Defender,Defender}","{6'2,6'2,6'2,6'2}","{180,180,193,180}","{https://www.goleopards.com/roster.aspx?rp_id=3311,https://www.goleopards.com/roster.aspx?rp_id=3340,https://www.goleopards.com/roster.aspx?rp_id=3255,https://www.goleopards.com/roster.aspx?rp_id=3283}",61
Brendan,Lane,Southport,CT,Fairfield Ludlowe High School,,Dartmouth College,IVY,Fairfield,CT,USA,PUBLIC,4,0,41.149374,-73.263302,"{2008,2007,2009,2010}","{Sophomore,Freshman,Junior,Senior}","{Midfielder,Midfielder,Midfielder,Midfielder}","{5'10,5'10,5'10,5'10}","{150,150,150,150}","{https://dartmouthsports.com/roster.aspx?rp_id=5225,https://dartmouthsports.com/roster.aspx?rp_id=4295,https://dartmouthsports.com/roster.aspx?rp_id=6440,https://dartmouthsports.com/roster.aspx?rp_id=7181}",62
